timestamp,task,prompt_tokens,completion_tokens,total_tokens,cost_usd,cumulative_tokens,total_cost_usd
2025-08-20T11:40:11.437596,behavioural_features,682,323,1005,0.0002961,1005,0.0002961
2025-08-21T10:46:05.714638,behavioural_features,682,309,991,0.0002877,1996,0.0005838
2025-08-26T15:35:06.336010,behavioural_features,702,315,1017,0.004905,3013,0.005489
2025-08-27T09:45:18.350422,behavioural_features,702,327,1029,0.005025,4042,0.010514
2025-08-27T09:46:46.509951,evaluation,953,62,1015,0.003002,5057,0.013517
2025-08-27T09:47:54.648472,evaluation,953,77,1030,0.003152,6087,0.016670
2025-08-27T09:48:45.649315,evaluation,953,105,1058,0.003433,7145,0.020103
2025-08-27T09:50:22.525887,evaluation,953,107,1060,0.003452,8205,0.023556
2025-08-27T09:51:17.450720,evaluation,953,123,1076,0.003613,9281,0.027169
2025-08-27T09:57:09.305360,behavioural_features,702,330,1032,0.005055,10313,0.032224
2025-08-27T10:15:14.092525,behavioural_features,702,320,1022,0.004955,11335,0.037179
2025-08-27T10:16:34.828836,behavioural_features,702,306,1008,0.004815,12343,0.041994
2025-08-27T10:24:30.096678,behavioural_features,702,331,1033,0.005065,13376,0.047059
2025-08-27T10:40:54.092208,evaluation,953,73,1026,0.003113,14402,0.050171
2025-09-04T20:22:38.550842,behavioural_features,731,334,1065,0.005168,15467,0.055338
2025-09-04T20:22:54.182627,decisions,4674,191,4865,0.013595,20332,0.068933
2025-09-04T20:23:00.742441,rag_eval,3704,93,3797,0.010190,24129,0.079123
2025-09-04T20:23:34.946313,rag_eval,3703,108,3811,0.010337,27940,0.089460
2025-09-04T20:23:52.448902,rag_eval,3703,106,3809,0.010318,31749,0.099777
2025-09-04T20:29:28.531125,decisions,4665,187,4852,0.013533,36601,0.113310
2025-09-04T20:31:34.303710,decisions,4665,169,4834,0.013353,41435,0.126662
2025-09-04T20:41:01.082127,decisions,4665,125,4790,0.012913,46225,0.139574
